PALM,FRUGIVORE,frugClass,frugFamily,biogeographicRegion,InteractionID,Unique_interaction,frugBodyMASS,FruitLength_cm,PalmTribe,PalmSubfamily,Country,botanicalCountry,referenceKey
Astrocaryum jauari,Lithodoras dorsalis,FISH,Doraridae,Neotropics,Astrocaryum jauari_Lithodoras dorsalis,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Lithodoras dorsalis,FISH,Doraridae,Neotropics,Astrocaryum jauari_Lithodoras dorsalis,0,NA,3.5,Cocoseae,Arecoideae,NA,NA,IE5UIEZW
Astrocaryum jauari,Lithodoras dorsalis,FISH,Doraridae,Neotropics,Astrocaryum jauari_Lithodoras dorsalis,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Megalodoras uranoscopus,FISH,Doraridae,Neotropics,Astrocaryum jauari_Megalodoras uranoscopus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Megalodoras uranoscopus,FISH,Doraridae,Neotropics,Astrocaryum jauari_Megalodoras uranoscopus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Megalodoras uranoscopus,FISH,Doraridae,Neotropics,Astrocaryum jauari_Megalodoras uranoscopus,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Metynnis,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Metynnis,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Metynnis,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Metynnis,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Metynnis,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Metynnis,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Myleus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Myleus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Myleus,FISH,Characidae,Neotropics,Astrocaryum jauari_Myleus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Myleus,FISH,Characidae,Neotropics,Astrocaryum jauari_Myleus,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
